gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,service_date,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator
10,10,,"Local Bus","Other Bus",Bus,2015-10-01,OFF_PEAK,"Headway / Schedule Adherence",293.000000000,456.000000000,
11,11,,"Local Bus","Other Bus",Bus,2015-10-01,PEAK,"Headway / Schedule Adherence",221.000000000,346.000000000,
11,11,,"Local Bus","Other Bus",Bus,2015-10-01,OFF_PEAK,"Headway / Schedule Adherence",353.000000000,544.000000000,
14,14,,"Local Bus","Other Bus",Bus,2015-10-01,OFF_PEAK,"Headway / Schedule Adherence",103.000000000,221.000000000,
14,14,,"Local Bus","Other Bus",Bus,2015-10-01,PEAK,"Headway / Schedule Adherence",60.000000000,130.000000000,
15,15,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2015-10-01,PEAK,"Headway / Schedule Adherence",245.000000000,316.000000000,
15,15,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2015-10-01,OFF_PEAK,"Headway / Schedule Adherence",508.000000000,797.000000000,
16,16,,"Local Bus","Other Bus",Bus,2015-10-01,OFF_PEAK,"Headway / Schedule Adherence",335.000000000,487.000000000,
16,16,,"Local Bus","Other Bus",Bus,2015-10-01,PEAK,"Headway / Schedule Adherence",119.000000000,260.000000000,
17,17,,"Local Bus","Other Bus",Bus,2015-10-01,OFF_PEAK,"Headway / Schedule Adherence",254.000000000,332.000000000,
17,17,,"Local Bus","Other Bus",Bus,2015-10-01,PEAK,"Headway / Schedule Adherence",59.000000000,167.000000000,
18,18,,"Local Bus","Other Bus",Bus,2015-10-01,OFF_PEAK,"Headway / Schedule Adherence",47.000000000,70.000000000,
18,18,,"Local Bus","Other Bus",Bus,2015-10-01,PEAK,"Headway / Schedule Adherence",30.000000000,56.000000000,
19,19,,"Local Bus","Other Bus",Bus,2015-10-01,PEAK,"Headway / Schedule Adherence",158.000000000,361.000000000,
19,19,,"Local Bus","Other Bus",Bus,2015-10-01,OFF_PEAK,"Headway / Schedule Adherence",178.000000000,375.000000000,
21,21,,"Local Bus","Other Bus",Bus,2015-10-01,OFF_PEAK,"Headway / Schedule Adherence",398.000000000,507.000000000,
21,21,,"Local Bus","Other Bus",Bus,2015-10-01,PEAK,"Headway / Schedule Adherence",92.000000000,211.000000000,
22,22,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2015-10-01,PEAK,"Headway / Schedule Adherence",315.000000000,468.000000000,
22,22,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2015-10-01,OFF_PEAK,"Headway / Schedule Adherence",747.000000000,1042.000000000,
23,23,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2015-10-01,OFF_PEAK,"Headway / Schedule Adherence",979.000000000,1497.000000000,
23,23,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2015-10-01,PEAK,"Headway / Schedule Adherence",489.000000000,670.000000000,
24,24,,"Local Bus","Other Bus",Bus,2015-10-01,PEAK,"Headway / Schedule Adherence",40.000000000,76.000000000,
24,24,,"Local Bus","Other Bus",Bus,2015-10-01,OFF_PEAK,"Headway / Schedule Adherence",176.000000000,217.000000000,
26,26,,"Local Bus","Other Bus",Bus,2015-10-01,OFF_PEAK,"Headway / Schedule Adherence",142.000000000,236.000000000,
26,26,,"Local Bus","Other Bus",Bus,2015-10-01,PEAK,"Headway / Schedule Adherence",38.000000000,100.000000000,
27,27,,"Local Bus","Other Bus",Bus,2015-10-01,PEAK,"Headway / Schedule Adherence",50.000000000,90.000000000,
27,27,,"Local Bus","Other Bus",Bus,2015-10-01,OFF_PEAK,"Headway / Schedule Adherence",144.000000000,191.000000000,
28,28,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2015-10-01,OFF_PEAK,"Headway / Schedule Adherence",1086.000000000,1621.000000000,
28,28,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2015-10-01,PEAK,"Headway / Schedule Adherence",448.000000000,602.000000000,
29,29,,"Local Bus","Other Bus",Bus,2015-10-01,PEAK,"Headway / Schedule Adherence",46.000000000,242.000000000,
29,29,,"Local Bus","Other Bus",Bus,2015-10-01,OFF_PEAK,"Headway / Schedule Adherence",234.000000000,377.000000000,
30,30,,"Local Bus","Other Bus",Bus,2015-10-01,OFF_PEAK,"Headway / Schedule Adherence",188.000000000,265.000000000,
30,30,,"Local Bus","Other Bus",Bus,2015-10-01,PEAK,"Headway / Schedule Adherence",78.000000000,126.000000000,
31,31,,"Local Bus","Other Bus",Bus,2015-10-01,PEAK,"Headway / Schedule Adherence",278.000000000,385.000000000,
31,31,,"Local Bus","Other Bus",Bus,2015-10-01,OFF_PEAK,"Headway / Schedule Adherence",634.000000000,858.000000000,
32,32,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2015-10-01,OFF_PEAK,"Headway / Schedule Adherence",889.000000000,1175.000000000,
32,32,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2015-10-01,PEAK,"Headway / Schedule Adherence",481.000000000,677.000000000,
33,33,,"Local Bus","Other Bus",Bus,2015-10-01,OFF_PEAK,"Headway / Schedule Adherence",100.000000000,140.000000000,
33,33,,"Local Bus","Other Bus",Bus,2015-10-01,PEAK,"Headway / Schedule Adherence",50.000000000,81.000000000,
34,34,,"Local Bus","Other Bus",Bus,2015-10-01,PEAK,"Headway / Schedule Adherence",249.000000000,385.000000000,
34,34,,"Local Bus","Other Bus",Bus,2015-10-01,OFF_PEAK,"Headway / Schedule Adherence",421.000000000,615.000000000,
34E,34E,,"Local Bus","Other Bus",Bus,2015-10-01,OFF_PEAK,"Headway / Schedule Adherence",385.000000000,745.000000000,
34E,34E,,"Local Bus","Other Bus",Bus,2015-10-01,PEAK,"Headway / Schedule Adherence",136.000000000,322.000000000,
35,35,,"Local Bus","Other Bus",Bus,2015-10-01,PEAK,"Headway / Schedule Adherence",81.000000000,171.000000000,
35,35,,"Local Bus","Other Bus",Bus,2015-10-01,OFF_PEAK,"Headway / Schedule Adherence",197.000000000,324.000000000,
36,36,,"Local Bus","Other Bus",Bus,2015-10-01,OFF_PEAK,"Headway / Schedule Adherence",333.000000000,502.000000000,
36,36,,"Local Bus","Other Bus",Bus,2015-10-01,PEAK,"Headway / Schedule Adherence",150.000000000,281.000000000,
