gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,service_date,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator
4,4,,"Limited Service","Other Bus",Bus,2017-12-01,PEAK,"Headway / Schedule Adherence",109.000000000,140.000000000,
5,5,,"Limited Service","Other Bus",Bus,2017-12-01,OFF_PEAK,"Headway / Schedule Adherence",30.000000000,41.000000000,
7,7,,"Local Bus","Other Bus",Bus,2017-12-01,OFF_PEAK,"Headway / Schedule Adherence",333.000000000,393.000000000,
7,7,,"Local Bus","Other Bus",Bus,2017-12-01,PEAK,"Headway / Schedule Adherence",312.000000000,350.000000000,
8,8,,"Local Bus","Other Bus",Bus,2017-12-01,PEAK,"Headway / Schedule Adherence",114.000000000,248.000000000,
8,8,,"Local Bus","Other Bus",Bus,2017-12-01,OFF_PEAK,"Headway / Schedule Adherence",342.000000000,550.000000000,
9,9,,"Local Bus","Other Bus",Bus,2017-12-01,PEAK,"Headway / Schedule Adherence",330.000000000,409.000000000,
9,9,,"Local Bus","Other Bus",Bus,2017-12-01,OFF_PEAK,"Headway / Schedule Adherence",499.000000000,636.000000000,
10,10,,"Local Bus","Other Bus",Bus,2017-12-01,OFF_PEAK,"Headway / Schedule Adherence",237.000000000,401.000000000,
10,10,,"Local Bus","Other Bus",Bus,2017-12-01,PEAK,"Headway / Schedule Adherence",95.000000000,172.000000000,
11,11,,"Local Bus","Other Bus",Bus,2017-12-01,OFF_PEAK,"Headway / Schedule Adherence",349.000000000,456.000000000,
11,11,,"Local Bus","Other Bus",Bus,2017-12-01,PEAK,"Headway / Schedule Adherence",207.000000000,246.000000000,
14,14,,"Local Bus","Other Bus",Bus,2017-12-01,PEAK,"Headway / Schedule Adherence",39.000000000,92.000000000,
14,14,,"Local Bus","Other Bus",Bus,2017-12-01,OFF_PEAK,"Headway / Schedule Adherence",121.000000000,212.000000000,
15,15,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2017-12-01,OFF_PEAK,"Headway / Schedule Adherence",512.000000000,755.000000000,
15,15,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2017-12-01,PEAK,"Headway / Schedule Adherence",220.000000000,311.000000000,
16,16,,"Local Bus","Other Bus",Bus,2017-12-01,PEAK,"Headway / Schedule Adherence",85.000000000,221.000000000,
16,16,,"Local Bus","Other Bus",Bus,2017-12-01,OFF_PEAK,"Headway / Schedule Adherence",285.000000000,507.000000000,
17,17,,"Local Bus","Other Bus",Bus,2017-12-01,PEAK,"Headway / Schedule Adherence",45.000000000,98.000000000,
17,17,,"Local Bus","Other Bus",Bus,2017-12-01,OFF_PEAK,"Headway / Schedule Adherence",117.000000000,256.000000000,
18,18,,"Local Bus","Other Bus",Bus,2017-12-01,PEAK,"Headway / Schedule Adherence",21.000000000,56.000000000,
18,18,,"Local Bus","Other Bus",Bus,2017-12-01,OFF_PEAK,"Headway / Schedule Adherence",24.000000000,67.000000000,
19,19,,"Local Bus","Other Bus",Bus,2017-12-01,OFF_PEAK,"Headway / Schedule Adherence",147.000000000,308.000000000,
19,19,,"Local Bus","Other Bus",Bus,2017-12-01,PEAK,"Headway / Schedule Adherence",106.000000000,256.000000000,
21,21,,"Local Bus","Other Bus",Bus,2017-12-01,PEAK,"Headway / Schedule Adherence",160.000000000,230.000000000,
21,21,,"Local Bus","Other Bus",Bus,2017-12-01,OFF_PEAK,"Headway / Schedule Adherence",274.000000000,472.000000000,
22,22,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2017-12-01,OFF_PEAK,"Headway / Schedule Adherence",626.000000000,917.000000000,
22,22,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2017-12-01,PEAK,"Headway / Schedule Adherence",253.000000000,363.000000000,
