gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,service_date,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator
83,83,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",248.000000000,333.000000000,
86,86,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",276.000000000,442.000000000,
87,87,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",388.000000000,530.000000000,
88,88,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",465.000000000,571.000000000,
89,89,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",213.000000000,277.000000000,
90,90,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",94.000000000,115.000000000,
91,91,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",216.000000000,318.000000000,
92,92,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",207.000000000,270.000000000,
93,93,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",262.000000000,431.000000000,
94,94,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",161.000000000,242.000000000,
95,95,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",207.000000000,250.000000000,
96,96,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",223.000000000,364.000000000,
97,97,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",80.000000000,90.000000000,
99,99,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",158.000000000,250.000000000,
100,100,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",243.000000000,329.000000000,
101,101,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",326.000000000,446.000000000,
104,104,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",199.000000000,392.000000000,
105,105,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",89.000000000,118.000000000,
106,106,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",273.000000000,450.000000000,
108,108,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",280.000000000,378.000000000,
109,109,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",242.000000000,411.000000000,
110,110,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",289.000000000,436.000000000,
111,111,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",1000.000000000,1983.000000000,
112,112,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",160.000000000,245.000000000,
116,116,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",203.000000000,403.000000000,
117,117,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",249.000000000,502.000000000,
119,119,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",84.000000000,117.000000000,
120,120,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",237.000000000,317.000000000,
132,132,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",70.000000000,107.000000000,
134,134,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",327.000000000,438.000000000,
136,136,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",100.000000000,155.000000000,
137,137,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",95.000000000,132.000000000,
171,171,,"Limited Service","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",3.000000000,7.000000000,
201,201,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",171.000000000,230.000000000,
202,202,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",71.000000000,144.000000000,
210,210,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",74.000000000,117.000000000,
211,211,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",86.000000000,133.000000000,
212,212,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",49.000000000,85.000000000,
215,215,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",281.000000000,444.000000000,
216,216,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",327.000000000,448.000000000,
220,220,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",166.000000000,415.000000000,
222,222,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",124.000000000,266.000000000,
225,225,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",192.000000000,386.000000000,
230,230,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",168.000000000,363.000000000,
236,236,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",178.000000000,209.000000000,
238,238,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",149.000000000,309.000000000,
240,240,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",354.000000000,585.000000000,
350,350,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",265.000000000,378.000000000,
411,411,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",93.000000000,151.000000000,
426,426,,"Express Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",170.000000000,288.000000000,
429,429,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",146.000000000,217.000000000,
430,430,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",103.000000000,136.000000000,
431,431,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",8.000000000,25.000000000,
435,435,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",99.000000000,167.000000000,
436,436,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",71.000000000,128.000000000,
441,441,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",82.000000000,195.000000000,
442,442,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",138.000000000,248.000000000,
450,450,,"Express Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",156.000000000,300.000000000,
455,455,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",299.000000000,589.000000000,
465,465,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",33.000000000,60.000000000,
504,504,,"Express Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",154.000000000,236.000000000,
553,553,,"Express Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",97.000000000,142.000000000,
741,SL1,"Silver Line SL1","Rapid Transit","Silver Line",Bus,2015-08-02,OFF_PEAK,"Headway / Schedule Adherence",977.000000000,1172.000000000,
742,SL2,"Silver Line SL2","Rapid Transit","Silver Line",Bus,2015-08-02,OFF_PEAK,"Headway / Schedule Adherence",506.000000000,752.000000000,
751,SL4,"Silver Line SL4","Rapid Transit","Silver Line",Bus,2015-08-02,OFF_PEAK,"Headway / Schedule Adherence",1427.000000000,1528.000000000,
749,SL5,"Silver Line SL5","Rapid Transit","Silver Line",Bus,2015-08-02,OFF_PEAK,"Headway / Schedule Adherence",2230.000000000,2712.000000000,
CR-Fairmount,,"Fairmount Line","Commuter Rail",,"Commuter Rail",2015-08-02,OFF_PEAK,"Headway / Schedule Adherence",32.000000000,34.000000000,.000000000
CR-Fairmount,,"Fairmount Line","Commuter Rail",,"Commuter Rail",2015-08-02,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
CR-Worcester,,"Framingham/Worcester Line","Commuter Rail",,"Commuter Rail",2015-08-02,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
CR-Worcester,,"Framingham/Worcester Line","Commuter Rail",,"Commuter Rail",2015-08-02,OFF_PEAK,"Headway / Schedule Adherence",17.000000000,18.000000000,.000000000
CR-Franklin,,"Franklin Line","Commuter Rail",,"Commuter Rail",2015-08-02,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
CR-Franklin,,"Franklin Line","Commuter Rail",,"Commuter Rail",2015-08-02,OFF_PEAK,"Headway / Schedule Adherence",13.000000000,14.000000000,.000000000
CR-Greenbush,,"Greenbush Line","Commuter Rail",,"Commuter Rail",2015-08-02,OFF_PEAK,"Headway / Schedule Adherence",16.000000000,16.000000000,.000000000
CR-Greenbush,,"Greenbush Line","Commuter Rail",,"Commuter Rail",2015-08-02,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
CR-Haverhill,,"Haverhill Line","Commuter Rail",,"Commuter Rail",2015-08-02,OFF_PEAK,"Headway / Schedule Adherence",11.000000000,12.000000000,.000000000
CR-Haverhill,,"Haverhill Line","Commuter Rail",,"Commuter Rail",2015-08-02,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
CR-Kingston,,"Kingston/Plymouth Line","Commuter Rail",,"Commuter Rail",2015-08-02,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
CR-Kingston,,"Kingston/Plymouth Line","Commuter Rail",,"Commuter Rail",2015-08-02,OFF_PEAK,"Headway / Schedule Adherence",16.000000000,16.000000000,.000000000
CR-Lowell,,"Lowell Line","Commuter Rail",,"Commuter Rail",2015-08-02,OFF_PEAK,"Headway / Schedule Adherence",15.000000000,16.000000000,.000000000
CR-Lowell,,"Lowell Line","Commuter Rail",,"Commuter Rail",2015-08-02,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
CR-Middleborough,,"Middleborough/Lakeville Line","Commuter Rail",,"Commuter Rail",2015-08-02,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
CR-Middleborough,,"Middleborough/Lakeville Line","Commuter Rail",,"Commuter Rail",2015-08-02,OFF_PEAK,"Headway / Schedule Adherence",16.000000000,16.000000000,.000000000
CR-Newburyport,,"Newburyport/Rockport Line","Commuter Rail",,"Commuter Rail",2015-08-02,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
CR-Newburyport,,"Newburyport/Rockport Line","Commuter Rail",,"Commuter Rail",2015-08-02,OFF_PEAK,"Headway / Schedule Adherence",12.000000000,12.000000000,.000000000
CR-Newburyport,,"Newburyport/Rockport Line","Commuter Rail",,"Commuter Rail",2015-08-02,OFF_PEAK,"Headway / Schedule Adherence",12.000000000,14.000000000,.000000000
CR-Newburyport,,"Newburyport/Rockport Line","Commuter Rail",,"Commuter Rail",2015-08-02,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
CR-Providence,,"Providence/Stoughton Line","Commuter Rail",,"Commuter Rail",2015-08-02,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
CR-Providence,,"Providence/Stoughton Line","Commuter Rail",,"Commuter Rail",2015-08-02,OFF_PEAK,"Headway / Schedule Adherence",10.000000000,14.000000000,.000000000
1,1,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2015-08-02,OFF_PEAK,"Headway / Schedule Adherence",663.000000000,1077.000000000,
8,8,,"Local Bus","Other Bus",Bus,2015-08-02,OFF_PEAK,"Headway / Schedule Adherence",269.000000000,423.000000000,
9,9,,"Local Bus","Other Bus",Bus,2015-08-02,OFF_PEAK,"Headway / Schedule Adherence",290.000000000,432.000000000,
10,10,,"Local Bus","Other Bus",Bus,2015-08-02,OFF_PEAK,"Headway / Schedule Adherence",230.000000000,351.000000000,
11,11,,"Local Bus","Other Bus",Bus,2015-08-02,OFF_PEAK,"Headway / Schedule Adherence",316.000000000,421.000000000,
15,15,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2015-08-02,OFF_PEAK,"Headway / Schedule Adherence",526.000000000,802.000000000,
16,16,,"Local Bus","Other Bus",Bus,2015-08-02,OFF_PEAK,"Headway / Schedule Adherence",184.000000000,339.000000000,
17,17,,"Local Bus","Other Bus",Bus,2015-08-02,OFF_PEAK,"Headway / Schedule Adherence",96.000000000,158.000000000,
21,21,,"Local Bus","Other Bus",Bus,2015-08-02,OFF_PEAK,"Headway / Schedule Adherence",94.000000000,151.000000000,
22,22,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2015-08-02,OFF_PEAK,"Headway / Schedule Adherence",496.000000000,885.000000000,
23,23,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2015-08-02,OFF_PEAK,"Headway / Schedule Adherence",616.000000000,1136.000000000,
24,24,,"Local Bus","Other Bus",Bus,2015-08-02,OFF_PEAK,"Headway / Schedule Adherence",139.000000000,192.000000000,
26,26,,"Local Bus","Other Bus",Bus,2015-08-02,OFF_PEAK,"Headway / Schedule Adherence",69.000000000,91.000000000,
277,277,,"Local Bus","Other Bus",Bus,2015-08-02,OFF_PEAK,"Headway / Schedule Adherence",2.000000000,2.000000000,
