gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,service_date,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator
30,30,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",115.000000000,140.000000000,
31,31,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",375.000000000,495.000000000,
32,32,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",568.000000000,736.000000000,
34,34,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",244.000000000,322.000000000,
34E,34E,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",374.000000000,567.000000000,
35,35,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",79.000000000,126.000000000,
36,36,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",400.000000000,477.000000000,
39,39,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",1126.000000000,1376.000000000,
40,40,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",51.000000000,59.000000000,
41,41,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",144.000000000,191.000000000,
42,42,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",138.000000000,165.000000000,
43,43,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",218.000000000,380.000000000,
44,44,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",283.000000000,363.000000000,
45,45,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",181.000000000,207.000000000,
47,47,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",195.000000000,336.000000000,
55,55,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",134.000000000,182.000000000,
57,57,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",838.000000000,1001.000000000,
59,59,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",102.000000000,111.000000000,
60,60,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",210.000000000,255.000000000,
64,64,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",85.000000000,99.000000000,
66,66,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",814.000000000,1060.000000000,
69,69,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",179.000000000,212.000000000,
70,70,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",403.000000000,657.000000000,
71,71,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",412.000000000,539.000000000,
725,72/75,,"Limited Service","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",240.000000000,263.000000000,
73,73,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",433.000000000,563.000000000,
77,77,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",641.000000000,845.000000000,
78,78,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",213.000000000,272.000000000,
80,80,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",192.000000000,222.000000000,
83,83,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",134.000000000,202.000000000,
86,86,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",168.000000000,281.000000000,
87,87,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",296.000000000,387.000000000,
88,88,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",300.000000000,372.000000000,
89,89,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",143.000000000,167.000000000,
90,90,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",57.000000000,63.000000000,
91,91,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",99.000000000,168.000000000,
93,93,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",129.000000000,192.000000000,
94,94,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",186.000000000,210.000000000,
95,95,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",79.000000000,123.000000000,
96,96,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",232.000000000,265.000000000,
97,97,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",95.000000000,100.000000000,
99,99,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",145.000000000,199.000000000,
100,100,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",160.000000000,183.000000000,
101,101,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",209.000000000,260.000000000,
104,104,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",172.000000000,249.000000000,
105,105,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",80.000000000,110.000000000,
106,106,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",178.000000000,239.000000000,
108,108,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",105.000000000,132.000000000,
109,109,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",153.000000000,286.000000000,
110,110,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",178.000000000,246.000000000,
111,111,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",1710.000000000,2115.000000000,
112,112,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",129.000000000,152.000000000,
116,116,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",270.000000000,338.000000000,
117,117,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",328.000000000,405.000000000,
119,119,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",72.000000000,110.000000000,
120,120,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",177.000000000,197.000000000,
134,134,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",187.000000000,219.000000000,
136,136,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",32.000000000,48.000000000,
137,137,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",30.000000000,55.000000000,
171,171,,"Limited Service","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",1.000000000,10.000000000,
201,201,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",92.000000000,114.000000000,
202,202,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",44.000000000,60.000000000,
210,210,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",.000000000,4.000000000,
211,211,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",77.000000000,89.000000000,
215,215,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",135.000000000,255.000000000,
216,216,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",158.000000000,216.000000000,
220,220,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",170.000000000,228.000000000,
222,222,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",113.000000000,202.000000000,
225,225,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",170.000000000,232.000000000,
230,230,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",182.000000000,234.000000000,
236,236,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",125.000000000,159.000000000,
238,238,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",117.000000000,218.000000000,
240,240,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",137.000000000,275.000000000,
350,350,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",194.000000000,243.000000000,
426,426,,"Express Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",137.000000000,302.000000000,
429,429,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",106.000000000,144.000000000,
435,435,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",63.000000000,85.000000000,
441,441,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",101.000000000,139.000000000,
442,442,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",147.000000000,191.000000000,
450,450,,"Express Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",164.000000000,283.000000000,
455,455,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",192.000000000,348.000000000,
Red,,"Red Line","Rapid Transit","Red Line",Rail,2017-01-02,OFF_PEAK,"Passenger Wait Time",82549.203291216,86220.170722893,
Red,,"Red Line","Rapid Transit","Red Line",Rail,2017-01-02,PEAK,"Passenger Wait Time",73926.031096988,77129.294440897,
